Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,10-03-2021,47,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Lea Bridge
Goodinge Group Practice,29-05-2020,40,No,Female,(A) White - British,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Forest Gate South
No Outcome,03-03-2021,31,Blanks,Female,(D) Black or Black British - Any other Black background,No,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),No,NULL,London Fields
No Outcome,10-05-2021,44,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Farringdon Within
No Outcome,12-06-2019,36,No,Male,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,29-04-2021,43,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,28-11-2019,31,Yes,Female,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Other benefit,Bunhill
No Outcome,06-08-2021,45,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,21-06-2021,42,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,Bunhill
No Outcome,04-03-2021,47,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Prefer not to say religion,Bisexual,Blanks,Blanks,NULL,Bunhill
No Outcome,21-04-2021,47,Blanks,Male,(B) Mixed - White and Black African,Blanks,NULL,Christian,Bisexual,Blanks,Blanks,NULL,Bunhill
No Outcome,08-04-2020,32,No,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,20-03-2021,40,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,19-08-2020,40,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Muslim,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,Bunhill
No Outcome,20-07-2021,47,Blanks,Female,(A) White - Kurdish,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,11-12-2019,36,Yes,Female,(D) Black or Black British - Caribbean,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,24-03-2021,24,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,05-02-2021,42,Yes,Female,(D) Black or Black British - Other African,Yes,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,23-06-2021,18,Blanks,Male,(E) Other Ethnic Group - Latin American,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
Byward Kitchen & Bar,05-02-2021,56,Yes,Male,(D) Black or Black British - Other African,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Blanks,"Universal credit (UC), Working Tax Credit, Months on benefits",Bunhill
No Outcome,26-05-2021,23,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,23-08-2021,27,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St Peter's
No Outcome,02-11-2020,27,Yes,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St Peter's
No Outcome,25-07-2021,39,Blanks,Prefer not to say,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Bunhill
No Outcome,15-06-2021,58,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,15-03-2018,40,Yes,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,ISCED Level 1 (Primary education),Blanks,"Housing Benefit, Months on benefits",Bunhill
No Outcome,10-05-2021,26,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,21-12-2018,27,Yes,Female,(C) Asian or Asian British - Indian,No,NULL,Hindu,Heterosexual,ISCED Level 7 (Master's or equivalent level),No,Not in receipt of benefits,Bunhill
Sainsbury's Store ,16-05-2018,39,Yes,Male,(D) Black or Black British - Caribbean,Prefer not to say,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,"Job seekers allowance (JSA), Months on benefits",Bunhill
No Outcome,10-03-2021,55,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,04-03-2021,32,Blanks,Male,(A) White - Irish,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,12-03-2020,42,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Muslim,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Bunhill
No Outcome,07-06-2021,42,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Bisexual,Blanks,Blanks,NULL,Bunhill
No Outcome,27-05-2021,54,Blanks,Male,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,05-09-2021,28,Blanks,Male,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,08-04-2019,52,No,Male,(E) Other Ethnic Groups - Arab,Yes,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Bunhill
No Outcome,05-04-2019,28,Yes,Female,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,Heterosexual,Blanks,No,Not in receipt of benefits,Bunhill
No Outcome,04-04-2019,25,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Bunhill
No Outcome,29-05-2021,25,Blanks,Male,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,18-03-2021,34,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,10-06-2021,57,Blanks,Female,(B) Mixed - White and Black African,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,14-05-2018,30,Yes,Female,(A) White - British,No,NULL,Christian,Heterosexual,Blanks,Yes,"Income support (IS), Other benefit",Bunhill
No Outcome,28-05-2020,51,Yes,Male,(A) White - Any other White background,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,Other benefit,Bunhill
Kings Cross Construction,22-02-2018,21,No,Male,(A) White - British,Blanks,NULL,No response religion,No response to sexuality,Blanks,Blanks,NULL,Bunhill
No Outcome,07-08-2019,36,Yes,Female,(D) Black or Black British - Other African,Yes,NULL,Other religion,Heterosexual,ISCED Level 1 (Primary education),Yes,Employment support allowance (ESA),Bunhill
Caterlink,19-08-2019,40,Yes,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,Other benefit,Bunhill
No Outcome,28-07-2021,21,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Bunhill
No Outcome,20-06-2021,36,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Bunhill
No Outcome,29-07-2020,51,Yes,Male,(E) Other Ethnic Groups - Any other background,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Other benefit,Bunhill
No Outcome,05-02-2020,20,No,Female,(D) Black or Black British - Any other Black background,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Bunhill
No Outcome,31-10-2019,30,No,Male,(A) White - Any other White background,Yes,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA)",Bunhill
No Outcome,26-08-2021,58,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,12-04-2021,33,Yes,Female,(A) White - Kurdish,Prefer not to say,NULL,Blanks,Blanks,ISCED Level 0 (Early childhood education),Yes,Universal credit (UC),Bunhill
No Outcome,11-03-2021,56,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,10-04-2019,21,No,Male,(D) Black or Black British - Somali,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Bunhill
No Outcome,30-03-2021,38,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Bunhill
No Outcome,17-03-2021,121,Blanks,Male,(B) Mixed - White and Black Caribbean,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Enfield Lock
No Outcome,04-03-2021,43,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,East Barnet
No Outcome,03-07-2019,61,No,Female,(D) Black or Black British - Caribbean,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Caledonian
Simple Recruitment Services Limited,04-01-2018,55,Yes,Male,(D) Black or Black British - Any other Black background,No,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Blanks,"Job seekers allowance (JSA), Months on benefits",Caledonian
No Outcome,03-08-2021,16,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,12-05-2021,45,Blanks,Male,(C) Asian or Asian British - Pakistani,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,05-11-2020,50,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Blanks,Blanks,Blanks,No,Not in receipt of benefits,Caledonian
No Outcome,05-11-2020,50,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Blanks,Blanks,Blanks,No,Not in receipt of benefits,Caledonian
No Outcome,01-06-2018,39,Yes,Female,(E) Other Ethnic Groups - Latin American,No,NULL,Prefer not to say religion,No response to sexuality,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Caledonian
No Outcome,13-08-2020,38,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Caledonian
No Outcome,27-05-2021,22,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Prefer not to say religion,Bisexual,Blanks,Blanks,NULL,Caledonian
Islington Gp Federation,14-10-2019,55,Yes,Male,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Job seekers allowance (JSA),Caledonian
No Outcome,22-06-2021,55,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,15-02-2019,34,No,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,Caledonian
No Outcome,19-05-2021,34,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,01-04-2021,26,Blanks,Female,(D) Black or Black British - Ghanaian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,16-11-2020,55,Yes,Male,(D) Black or Black British - Caribbean,No,NULL,Other religion,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Universal credit (UC),Caledonian
No Outcome,10-03-2021,41,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,02-07-2020,21,No,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Caledonian
No Outcome,05-04-2019,52,No,Female,(D) Black or Black British - Any other Black background,Yes,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Caledonian
No Outcome,10-03-2021,48,Blanks,Female,(D) Black or Black British - Ghanaian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Blackwall & Cubitt Town
No Outcome,25-06-2021,45,Blanks,Male,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Limehouse
No Outcome,23-08-2021,25,Blanks,Male,(C) Asian or Asian British - Bangladeshi,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Canary Wharf
No Outcome,24-02-2021,46,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Custom House
No Outcome,28-02-2020,18,No,Male,(B) Mixed - White and Black Caribbean,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,Hatch Lane
No Outcome,20-07-2021,21,Blanks,Male,(B) Mixed - White and Black African,No,NULL,Blanks,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Springfield
No Outcome,02-09-2021,33,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Springfield
No Outcome,12-03-2021,39,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Shacklewell
No Outcome,01-07-2021,59,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Hackney Central
No Outcome,24-06-2021,42,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Bow East
No Outcome,24-02-2021,53,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,King's Park
No Outcome,03-03-2021,19,Blanks,Male,(D) Black or Black British - Any other Black background,No,NULL,Blanks,No response to sexuality,ISCED Level 0 (Early childhood education),Yes,NULL,Victoria
No Outcome,07-04-2021,25,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,28-05-2020,22,No,Female,(D) Black or Black British - Eritrean,No,NULL,Christian,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,09-12-2019,58,No,Female,(D) Black or Black British - Other African,Yes,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Clerkenwell
No Outcome,01-05-2021,58,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,28-03-2019,61,Yes,Male,(D) Black or Black British - Any other Black background,No,NULL,Other religion,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,"Personal independence payment (PI), Universal credit (UC)",Clerkenwell
No Outcome,26-05-2021,39,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,27-04-2020,44,Yes,Female,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Caledonian
No Outcome,08-12-2020,32,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,Blanks,Yes,Not in receipt of benefits,Caledonian
No Outcome,28-08-2020,29,No,Male,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Caledonian
No Outcome,17-03-2021,53,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,25-03-2021,47,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,03-05-2021,30,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Caledonian
No Outcome,18-06-2019,26,No,Male,(A) White - British,Yes,NULL,Other religion,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Caledonian
No Outcome,28-01-2021,20,No,Female,(B) Mixed - Any other Mixed background,Yes,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Yes,Personal independence payment (PI),Caledonian
No Outcome,05-09-2019,34,Yes,Female,(A) White - Turkish/ Turkish Cypriot,Yes,NULL,Muslim,Heterosexual,Blanks,Yes,"Personal independence payment (PI), Universal credit (UC)",Caledonian
No Outcome,07-04-2021,50,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Caledonian
No Outcome,20-02-2020,20,No,Female,(B) Mixed - White and Black Caribbean,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 1 (Primary education),No,Not in receipt of benefits,Caledonian
No Outcome,14-08-2019,36,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Yes,NULL,Muslim,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Blanks,Universal credit (UC),Barnsbury
No Outcome,12-06-2021,36,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
Islington Council,17-09-2018,19,Blanks,Female,(B) Mixed - Any other Mixed background,Yes,NULL,Blanks,Blanks,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Barnsbury
No Outcome,14-05-2021,59,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Barnsbury
No Outcome,28-02-2020,40,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Prefer not to say religion,Blanks,Blanks,Yes,Prefer not to disclose benefits,Barnsbury
No Outcome,25-02-2021,44,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Barnsbury
Lbi Energy Advice Team,02-08-2019,44,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Barnsbury
No Outcome,19-05-2021,21,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Waddon
No Outcome,31-08-2021,43,Blanks,Male,(A) White - Turkish/ Turkish Cypriot,No,NULL,Blanks,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),No,NULL,Spitalfields & Banglatown
No Outcome,04-06-2021,30,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Poplar
No Outcome,04-08-2021,40,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Yes,NULL,Blanks,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),Yes,"Employment support allowance (ESA), Disability living allowance (DLA)",Lansbury
No Outcome,06-04-2021,20,Blanks,Male,(D) Black or Black British - Any other Black background,No,NULL,Blanks,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Lansbury
No Outcome,26-05-2021,0,Blanks,Male,(E) Other Ethnic Groups - Prefer not to say,Prefer not to say,NULL,Blanks,Prefer not to say sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Prefer not to disclose benefits,Poplar
No Outcome,21-05-2021,0,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Prefer not to say,NULL,Blanks,No response to sexuality,Blanks,No,Prefer not to disclose benefits,Poplar
No Outcome,21-05-2021,0,No,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Blanks,No response to sexuality,ISCED Level 5 (Short cycle tertiary education),No,Not in receipt of benefits,Poplar
No Outcome,21-06-2021,19,Blanks,Male,(E) Other Ethnic Groups - Prefer not to say,Prefer not to say,NULL,Blanks,Prefer not to say sexuality,ISCED Level 3 (Upper secondary education),No,Prefer not to disclose benefits,Poplar
No Outcome,25-02-2021,18,Blanks,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,NULL
No Outcome,25-04-2021,44,Blanks,Male,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Bethnal Green
No Outcome,06-04-2021,22,Blanks,Female,(A) White - Any other White background,Prefer not to say,NULL,Blanks,No response to sexuality,Blanks,Blanks,Prefer not to disclose benefits,Bow West
No Outcome,31-08-2021,39,Blanks,Female,(C) Asian or Asian British - Any other Asian background,No,NULL,Blanks,No response to sexuality,Blanks,No,NULL,Bromley North
London Care,06-08-2018,63,No,Female,(D) Black or Black British - Nigerian,No,NULL,Prefer not to say religion,No response to sexuality,ISCED Level 2 (Lower secondary education),No,"Months on benefits, Not in receipt of benefits",King's Park
No Outcome,07-09-2021,31,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Lea Bridge
No Outcome,24-06-2021,21,Blanks,Male,(C) Asian or Asian British - Indian,No,NULL,Blanks,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Blanks,NULL,Lea Bridge
Bank Partners,29-06-2021,25,Blanks,Female,(D) Black or Black British - Other African,No,NULL,Blanks,Heterosexual,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Cazenove
London Borough of Islington ,10-12-2018,23,No,Female,(A) White - Greek/ Greek Cypriot,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Clerkenwell
No Outcome,03-03-2021,61,Blanks,Male,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,11-03-2021,55,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Gay / lesbian,Blanks,Blanks,NULL,Clerkenwell
No Outcome,16-04-2021,58,No,Male,(A) White - Any other White background,No,NULL,No religion / atheist,No response to sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Job seekers allowance (JSA),Clerkenwell
No Outcome,12-08-2021,36,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Christian,Bisexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,01-02-2018,59,Yes,Female,(A) White - Any other White background,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Blanks,Months on benefits,Clerkenwell
No Outcome,19-05-2021,31,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,11-01-2018,35,Yes,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,"Employment support allowance (ESA), Months on benefits",Clerkenwell
No Outcome,05-04-2019,35,Yes,Female,(D) Black or Black British - Eritrean,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Blanks,Income support (IS),Clerkenwell
No Outcome,09-10-2018,61,No,Female,(B) Mixed - White and Black African,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Clerkenwell
